行番号,記号,文字数（空白含む）,文字数（空白除外）,形態素数,解析対象語数
1,17障44,69,69,39,14
2,17障46,71,71,49,22
3,17障51,67,67,45,15
4,17障155,95,95,61,18
5,17障165,117,117,78,26
6,17障167,92,92,56,23
7,17障228,69,69,51,21
8,17障256,91,91,54,19
9,18障99,58,58,37,10
10,18障105,52,52,35,12
11,18障150,47,47,33,9
12,18障184,65,65,44,17
13,18障206,55,55,35,12
14,18障215,62,62,38,14
15,18障270,42,42,22,6
16,18障281,51,51,34,11
17,18障305,71,71,42,12
18,18障350,46,46,27,12
19,18障376,38,38,21,9
20,18障403,39,39,26,10
21,18障426,52,52,37,17
22,18障434,90,90,59,19
23,18障506,63,63,44,20
24,19障3,99,99,67,22
25,19障56,39,39,23,7
26,19障102,54,54,32,14
27,19障126,98,98,61,22
28,19障157,43,43,32,10
29,19障284,37,37,25,8
30,19障336,44,44,28,11
31,19障349,34,34,20,9
32,19障491,42,42,35,13
33,20障44,98,98,67,27
34,20障56,34,34,20,6
35,20障148,62,62,36,12
36,20障170,56,56,39,11
37,20障280,52,52,33,13
38,20障283,62,62,44,17
39,21障41,96,96,59,25
40,21障62,107,107,71,23
41,21障66,103,103,65,21
42,21障99,152,152,101,27
43,21障121,87,87,56,16
44,21障155,67,67,40,15
45,21障166,89,89,59,23
46,21障172,122,122,74,27
47,21障204,69,69,41,18
48,21障243,55,55,39,14
49,21障386,96,96,64,19
50,22障19,82,82,57,19
51,22障57,78,78,49,16
52,22障214,105,105,68,28
53,22障397,56,56,41,19
54,23障46,72,72,51,18
55,23障95,136,136,82,27
56,23障146,82,82,56,17
57,23障228,65,65,45,18
58,23障258,110,110,66,30
59,23障363,35,35,26,7
60,24障2,73,73,49,20
61,24障16,116,116,77,24
62,24障32,78,78,51,18
63,24障93,56,56,38,16
64,24障130,129,129,79,25
65,24障142,77,77,48,16
66,24障254,62,62,39,15
67,24障314,117,117,73,30
68,24障401,40,40,30,13
69,25障62,63,63,44,11
70,25障67,142,142,86,32
71,25障130,92,92,52,24
72,25障205,45,45,35,6
73,25障342,46,46,32,9
74,25障343,70,70,45,20
75,25障348,99,99,60,25
76,25障356,141,141,92,28
77,25障357,226,226,151,51
78,26障76,64,64,46,14
79,26障97,105,105,71,26
80,26障98,30,30,21,6
81,26障307,125,125,77,28
82,26障389,37,37,24,11
83,27障187,141,141,87,24
84,27障276,81,81,48,19
85,27障350,116,116,78,26
86,27障427,78,78,54,21
87,28障2,86,86,57,24
88,28障49,118,118,77,31
89,28障117,83,83,61,22
90,28障120,58,58,38,15
91,28障131,84,84,52,18
92,28障208,52,52,31,11
93,28障228,27,27,18,7
94,28障297,108,108,68,25
95,29障206,58,58,41,12
96,29障221,63,63,39,12
97,29障250,49,49,27,13
98,30障54,76,76,53,21
99,30障141,39,39,25,8
100,30障317,55,55,36,13
101,30障378,82,82,52,15
102,2019障24,86,86,53,14
103,2019障78,92,92,60,27
104,2019障153,71,71,40,18
105,2019障313,59,59,44,18
106,2019障316,80,80,55,24
107,2020障14,77,77,51,19
108,2020障55,91,91,58,20
109,2020障69,64,64,41,15
110,2020障132,101,101,67,28
111,2020障318,54,54,39,16
112,2020障326,73,73,44,17
113,2021障3,64,64,46,11
114,2021障7,100,100,70,20
115,2021障124,47,47,32,13
116,2021障253,93,93,66,25
117,2021障265,66,66,41,13
118,2022障51,170,170,115,45
119,2022障76,155,155,106,41
120,2022障201,88,88,62,24
121,2023障123,139,138,96,44
122,17障85,71,71,50,19
123,18障400,59,59,38,12
124,19障140,138,138,85,36
125,19障168,37,37,22,10
126,20障455,86,86,60,23
127,21障31,144,144,95,31
128,21障291,66,66,40,12
129,21障430,130,130,81,36
130,23障220,49,49,28,12
131,23障376,69,69,48,24
132,24障46,102,102,72,24
133,24障193,64,64,43,14
134,24障271,89,89,59,18
135,25障149,122,122,84,29
136,25障242,124,124,82,33
137,26障221,48,48,31,13
