基準記号,類似順位,類似記号,ジャッカード係数,共通特徴数,和集合特徴数,基準特徴数,類似特徴数,共通特徴
17障6,1,28障337,0.192308,5,26,17,14,向かう | 場 | 負傷 | 走る | 転倒
17障6,2,17障138,0.181818,4,22,17,9,口 | 負傷 | 足 | 転倒
17障6,3,18障136,0.166667,4,24,17,11,地面 | 負傷 | 走る | 足
17障6,4,22障178,0.16,4,25,17,12,口 | 負傷 | 足 | 転倒
17障6,5,24障288,0.15625,5,32,17,20,口 | 地面 | 負傷 | 走る | 転倒
17障6,6,21障411,0.15625,5,32,17,20,れる | 取る | 地面 | 負傷 | 転倒
17障6,7,18障274,0.153846,4,26,17,13,取る | 走る | 足 | 転倒
17障6,8,18障429,0.153846,4,26,17,13,口 | 負傷 | 足 | 転倒
17障6,9,2023障86,0.15,6,40,17,29,口 | 地面 | 場 | 走る | 足 | 転倒
17障6,10,25障180,0.148148,4,27,17,14,負傷 | 走る | 足 | 転倒
17障13,1,2021障88,0.304348,7,23,15,15,マット | 体育 | 口 | 練習 | 膝 | 負傷 | 運動
17障13,2,17障312,0.227273,5,22,15,12,体育 | 前歯 | 口 | 練習 | 負傷
17障13,3,23障203,0.222222,4,18,15,7,ぶつける | 体育 | 前歯 | 負傷
17障13,4,22障267,0.222222,4,18,15,7,前歯 | 膝 | 負傷 | 転
17障13,5,21障299,0.2,4,20,15,9,ぶつける | 前歯 | 練習 | 膝
17障13,6,17障129,0.2,5,25,15,15,マット | 体育 | 練習 | 負傷 | 運動
17障13,7,21障394,0.192308,5,26,15,16,マット | 前歯 | 練習 | 膝 | 転
17障13,8,27障198,0.181818,4,22,15,11,ぶつける | 体育 | 前歯 | 負傷
17障13,9,23障73,0.181818,4,22,15,11,ぶつける | 前歯 | 負傷 | 運動
17障13,10,23障218,0.173913,4,23,15,12,体育 | 前歯 | 口 | 負傷
17障26,1,21障437,0.185185,5,27,13,19,側溝 | 向かう | 強打 | 蓋 | 転倒
17障26,2,20障411,0.157895,3,19,13,9,側溝 | 強打 | 転倒
17障26,3,30障61,0.142857,4,28,13,19,強打 | 校舎 | 走る | 転倒
17障26,4,26障369,0.142857,3,21,13,11,強打 | 転倒 | 顎
17障26,5,19障134,0.142857,3,21,13,11,校舎 | 走る | 転倒
17障26,6,24障39,0.138889,5,36,13,28,向かう | 校舎 | 清掃 | 転倒 | 顎
17障26,7,2019障91,0.136364,3,22,13,12,強打 | 走る | 転倒
17障26,8,22障168,0.133333,4,30,13,21,強打 | 走る | 転倒 | 顎
17障26,9,23障320,0.125,3,24,13,14,強打 | 転倒 | 顎
17障26,10,21障147,0.125,3,24,13,14,強打 | 走る | 転倒
17障33,1,30障28,0.25,3,12,9,6,がけ | 床 | 雑巾
17障33,2,26障327,0.25,4,16,9,11,前歯 | 床 | 強打 | 接触
17障33,3,17障366,0.25,4,16,9,11,前歯 | 床 | 強打 | 接触
17障33,4,2023障55,0.210526,4,19,9,14,前歯 | 床 | 強打 | 時間
17障33,5,28障303,0.2,4,20,9,15,がけ | 床 | 強打 | 雑巾
17障33,6,17障61,0.2,3,15,9,9,前歯 | 床 | 時間
17障33,7,2019障179,0.190476,4,21,9,16,前歯 | 床 | 強打 | 時間
17障33,8,29障76,0.190476,4,21,9,16,つんのめる | 前歯 | 床 | 時間
17障33,9,26障152,0.176471,3,17,9,11,がけ | 床 | 雑巾
17障33,10,24障222,0.176471,3,17,9,11,前歯 | 強打 | 接触
17障48,1,23障122,0.333333,7,21,13,15,デッキ | ブラシ | プール | 倒れる | 前歯 | 強打 | 滑る
17障48,2,27障251,0.192308,5,26,13,18,デッキ | ブラシ | プール | 清掃 | 滑る
17障48,3,29障188,0.181818,6,33,13,26,しまう | プール | 倒れる | 前歯 | 清掃 | 滑る
17障48,4,27障192,0.173913,4,23,13,14,まま | 倒れる | 前歯 | 強打
17障48,5,24障40,0.166667,4,24,13,15,プール | 強打 | 清掃 | 滑る
17障48,6,21障264,0.166667,3,18,13,8,しまう | 倒れる | 前歯
17障48,7,19障10,0.166667,3,18,13,8,しまう | 前歯 | 強打
17障48,8,19障163,0.162162,6,37,13,30,デッキ | ブラシ | プール | 前歯 | 持つ | 滑る
17障48,9,21障299,0.157895,3,19,13,9,しまう | 前歯 | 強打
17障48,10,17障33,0.157895,3,19,13,9,前歯 | 強打 | 清掃
17障61,1,2020障187,0.272727,6,22,9,19,ぶつける | 休憩 | 前歯 | 床 | 時間 | 転倒
17障61,2,23障330,0.266667,4,15,9,10,休憩 | 前歯 | 時間 | 転倒
17障61,3,25障71,0.263158,5,19,9,15,かけっこ | 前歯 | 床 | 転倒 | 追う
17障61,4,2020障356,0.25,5,20,9,16,ぶつける | 前歯 | 床 | 時間 | 転倒
17障61,5,18障427,0.25,4,16,9,11,ぶつける | 前歯 | 床 | 転倒
17障61,6,2019障66,0.25,5,20,9,16,休憩 | 前歯 | 床 | 時間 | 転倒
17障61,7,24障126,0.24,6,25,9,22,ぶつける | 前歯 | 友達 | 床 | 時間 | 転倒
17障61,8,17障220,0.24,6,25,9,22,かけっこ | 休憩 | 前歯 | 時間 | 転倒 | 追う
17障61,9,2019障46,0.235294,4,17,9,12,休憩 | 前歯 | 時間 | 転倒
17障61,10,20障29,0.235294,4,17,9,12,ぶつける | 前歯 | 友達 | 床
17障73,1,17障61,0.227273,5,22,18,9,ぶつける | 休憩 | 前歯 | 時間 | 転倒
17障73,2,2019障46,0.2,5,25,18,12,休憩 | 前歯 | 時間 | 転倒 | 鬼ごっこ
17障73,3,27障195,0.190476,4,21,18,7,休憩 | 前歯 | 手 | 時間
17障73,4,17障87,0.1875,6,32,18,20,休憩 | 前歯 | 手 | 時間 | 転倒 | 鬼ごっこ
17障73,5,2019障42,0.181818,6,33,18,21,コンクリート | 休憩 | 前歯 | 時間 | 転倒 | 鬼ごっこ
17障73,6,22障128,0.176471,6,34,18,22,ぶつける | 体 | 前歯 | 手 | 支える | 転倒
17障73,7,23障330,0.166667,4,24,18,10,休憩 | 前歯 | 時間 | 転倒
17障73,8,2020障187,0.15625,5,32,18,19,ぶつける | 休憩 | 前歯 | 時間 | 転倒
17障73,9,2019障45,0.15625,5,32,18,19,休憩 | 前歯 | 時間 | 転倒 | 鬼ごっこ
17障73,10,17障227,0.153846,4,26,18,12,休憩 | 時間 | 転倒 | 鬼ごっこ
17障76,1,23障361,0.3125,5,16,9,12,バランス | 崩す | 強い | 打ちつける | 顔面
17障76,2,19障91,0.3,6,20,9,17,すべり台 | バランス | 崩す | 打ちつける | 登る | 顔面
17障76,3,18障171,0.25,5,20,9,16,バランス | 崩す | 強い | 打ちつける | 顔面
17障76,4,23障345,0.230769,3,13,9,7,バランス | 崩す | 顔面
17障76,5,2019障164,0.222222,4,18,9,13,バランス | 休憩 | 崩す | 時間
17障76,6,24障201,0.2,4,20,9,15,バランス | 崩す | 時間 | 顔面
17障76,7,18障314,0.2,4,20,9,15,バランス | 崩す | 打ちつける | 時間
17障76,8,20障415,0.2,3,15,9,9,バランス | 崩す | 顔面
17障76,9,30障56,0.190476,4,21,9,16,バランス | 休憩 | 崩す | 時間
17障76,10,2019障283,0.190476,4,21,9,16,バランス | 崩す | 強い | 打ちつける
17障87,1,17障61,0.208333,5,24,20,9,休憩 | 前歯 | 友達 | 時間 | 転倒
17障87,2,2019障66,0.2,6,30,20,16,休憩 | 前歯 | 昼食 | 時間 | 転倒 | 遊ぶ
