記号,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
17障44,-0.33195335,1.3379407,0.35802174,-0.22659585,0.27892745,-0.12002847,0.14488365,-0.0011023656,0.49225253,-0.43020087
17障46,-0.77670693,0.028964117,0.8435933,-0.31039384,0.32215324,-0.028318949,0.10853015,0.16368102,0.8773993,-0.6212064
17障51,-0.4968462,1.5655534,0.38955185,-0.6347735,-0.09587246,-0.61492664,-0.34983334,-0.48816082,0.2926137,0.389547
17障155,-0.2545498,0.95546156,0.12884991,0.73301744,-0.67423105,1.1888562,0.12552778,-0.31151995,-0.61463344,-0.039090708
17障165,0.2192617,-1.0102122,-0.88765585,0.554402,-1.2196035,-0.010335393,-0.9257131,-0.27235296,0.16146299,0.08749473
17障167,0.9633071,0.5529659,-0.19333434,0.8043221,-1.2062694,0.2361778,-0.989956,-0.2814065,0.028846815,0.009943724
17障228,-1.0002291,-0.15535106,-0.29723656,-1.1253378,-0.17173564,0.91218495,0.10083786,-0.34911826,-0.44494903,0.52617335
17障256,-0.92746586,-0.59993064,1.5375799,1.0966444,-0.058193833,0.9549556,-0.75850064,0.65225714,-0.21945359,0.3635338
18障99,-1.2893183,0.09362848,-0.15122378,-1.14475,-0.14625326,0.09904867,0.78305405,-0.27549067,0.15303649,0.18856612
18障105,-0.55544734,1.5448935,0.28407738,-0.57359457,0.2156691,-0.10988527,-0.007041171,0.7511552,0.18780549,0.54941505
18障150,0.43503803,0.9433531,-0.5587806,0.4819206,0.98365355,0.32790694,-1.1289362,-0.74734676,0.00091324747,-0.08958608
18障184,0.85824996,0.6078972,-0.288202,0.83638096,-0.94605327,0.68227506,-0.61507046,0.9475551,-0.019933924,0.1695103
18障206,1.4741511,0.55541205,-0.1984024,-0.4167147,-0.36506313,1.066139,0.0105486065,-0.19596863,0.09042627,-0.13389482
18障215,1.0082853,-0.74889576,0.28216204,-0.40655848,-0.109735936,0.718718,-0.7169178,1.1360308,0.67638963,-0.13301678
18障270,-1.1141744,-0.06452091,-0.31356984,-1.0140455,0.031411674,0.47627777,-0.60947245,0.75619215,-0.4691664,0.6523446
18障281,-0.18304063,1.1424127,0.12013161,-0.65711224,-0.031542376,1.0842373,0.057134937,-0.4155151,-0.53505784,0.41804415
18障305,0.24487549,0.8715182,-0.45814848,1.7597516,0.6174129,-0.21203145,0.1597667,0.65374357,-0.480519,0.3950433
18障350,1.2349937,0.39427578,-0.030276418,0.863508,-0.9302349,0.12784234,0.88084733,-0.058104903,-0.31814843,0.1915325
18障376,1.7291348,0.43037987,0.052268922,-0.27012208,-0.11935964,0.07669626,0.81179094,-0.10088422,-0.21281742,0.011878625
18障403,0.78862756,-1.226238,-0.7299894,-0.41036424,-0.058121555,-0.12589899,0.8470791,-0.12797609,-0.07130669,0.14738137
18障426,0.3771538,-1.105675,-0.7469672,0.72733736,-0.7047428,-0.5602703,0.24506155,1.043866,-0.18366577,0.39700866
18障434,-0.7859962,-0.26240426,0.013331026,-0.94477355,-0.019855686,-1.0101938,-0.16655166,-0.3822963,-0.7036597,0.669083
