記号,希少性スコア,5件以下カテゴリ数,文字数,文長頑健zスコア,希少性上位1%,|文長z|≥3.5,確認候補
28障363,32.24800392047318,0,97,0.9105625252934035,True,False,True
2022障259,32.01139092986254,1,50,-0.6744907594765952,True,False,True
2022障257,31.969426730763516,1,122,1.7536759746391475,True,False,True
2022障258,31.91824759814331,1,53,-0.5733171455551059,True,False,True
18障13,31.732855616720784,0,36,-1.1466342911102119,True,False,True
2019障349,31.307728295304173,0,154,2.8328611898017,True,False,True
18障178,30.961758658418077,0,62,-0.26979630379063807,True,False,True
2021障321,30.619621714536514,0,95,0.8431134493457441,True,False,True
2019障352,29.904982984717048,1,43,-0.9105625252934035,True,False,True
17障418,29.890682087420593,0,95,0.8431134493457441,True,False,True
17障438,29.52243592585167,0,60,-0.3372453797382976,True,False,True
2022障245,29.001862261976125,0,125,1.8548495885606369,True,False,True
30障396,28.920830877639958,0,52,-0.6070416835289357,True,False,True
19障49,28.79460557013997,0,96,0.8768379873195737,True,False,True
21障44,28.745751719454667,0,99,0.9780116012410631,True,False,True
19障472,28.71023162767006,0,49,-0.708215297450425,True,False,True
27障427,28.595830240180792,0,78,0.26979630379063807,True,False,True
22障22,28.4601782139651,1,86,0.5395926075812761,True,False,True
26障388,28.2492859221767,0,92,0.7419398354242548,True,False,True
22障456,28.24383590354524,0,129,1.9897477404559558,True,False,True
25障126,28.051131836865032,0,99,0.9780116012410631,True,False,True
30障32,27.55192898823698,0,27,-1.4501551328746798,True,False,True
27障3,27.507485769197626,0,133,2.1246458923512748,True,False,True
29障398,27.448099271981377,0,183,3.810872791042763,True,True,True
19障178,27.38663768984911,1,82,0.40469445568595713,True,False,True
2019障37,27.32496948264315,0,69,-0.03372453797382976,True,False,True
26障30,27.213577589040007,0,42,-0.9442870632672333,True,False,True
27障406,27.204738657184443,0,41,-0.9780116012410631,True,False,True
25障370,26.927366989215976,1,40,-1.011736139214893,True,False,True
2021障6,26.79535971960284,0,58,-0.40469445568595713,True,False,True
29障385,26.761578448959607,0,82,0.40469445568595713,True,False,True
28障38,26.680489921530814,0,73,0.10117361392148928,True,False,True
20障34,26.64576669360817,0,105,1.1803588290840417,True,False,True
21障420,26.411944688101176,0,86,0.5395926075812761,True,False,True
25障377,26.244178538115634,0,31,-1.3152569809793606,True,False,True
27障125,26.221134828647273,0,167,3.271280183461487,True,False,True
25障30,26.109362183131182,0,64,-0.20234722784297857,True,False,True
17障47,26.044296872923518,1,64,-0.20234722784297857,True,False,True
30障400,26.040447458639196,0,59,-0.3709699177121274,True,False,True
2019障186,26.037411296373783,1,91,0.708215297450425,True,False,True
2022障30,26.02258295277695,0,99,0.9780116012410631,True,False,True
24障409,26.013464270970225,1,57,-0.43841899365978687,True,False,True
24障408,25.99444431624126,0,60,-0.3372453797382976,True,False,True
25障375,25.992864109834727,0,164,3.1701065695399975,True,False,True
22障431,25.986198094636215,0,94,0.8093889113719143,True,False,True
2022障151,25.984070286335843,0,137,2.259544044246594,True,False,True
17障421,25.954884607510706,0,63,-0.23607176581680833,True,False,True
19障478,25.923937326208485,0,40,-1.011736139214893,True,False,True
22障21,25.916123074367064,0,89,0.6407662215027655,True,False,True
29障394,25.888246237718576,0,53,-0.5733171455551059,True,False,True
18障481,25.812847351298412,0,40,-1.011736139214893,True,False,True
17障255,25.803555090844537,0,92,0.7419398354242548,True,False,True
19障475,25.646276408079196,0,51,-0.6407662215027655,True,False,True
2019障354,25.5442073258921,0,79,0.30352084176446786,True,False,True
2019障218,25.535690168525676,0,119,1.6525023607176583,True,False,True
27障413,25.532863159366514,0,73,0.10117361392148928,True,False,True
18障138,25.45626784537751,1,51,-0.6407662215027655,True,False,True
22障35,25.446513494949013,0,39,-1.0454606771887227,True,False,True
18障54,25.4028056964165,0,67,-0.10117361392148928,True,False,True
22障36,25.353370163229776,0,55,-0.5058680696074465,True,False,True
21障39,25.312014854891,0,151,2.7316875758802106,True,False,True
17障437,25.263726315380193,0,65,-0.1686226898691488,True,False,True
27障16,25.208937292039348,0,57,-0.43841899365978687,True,False,True
22障125,25.206820902550824,1,103,1.112909753136382,True,False,True
20障464,25.20618832286801,0,49,-0.708215297450425,True,False,True
2019障340,25.182060415585067,0,54,-0.5395926075812761,True,False,True
17障439,25.125705017482815,0,78,0.26979630379063807,True,False,True
25障356,25.11061582675044,0,141,2.394442196141913,True,False,True
29障375,25.090011244565478,0,65,-0.1686226898691488,True,False,True
17障110,25.087861373819994,0,105,1.1803588290840417,True,False,True
17障422,25.074525884862616,0,53,-0.5733171455551059,True,False,True
2023障169,25.07361787507959,0,86,0.5395926075812761,True,False,True
19障477,25.04357860356039,0,57,-0.43841899365978687,True,False,True
22障442,25.030584210687895,0,58,-0.40469445568595713,True,False,True
2020障384,24.970897780725704,0,82,0.40469445568595713,True,False,True
22障417,24.955636954422175,0,56,-0.47214353163361666,True,False,True
19障481,24.950435271841158,0,71,0.03372453797382976,True,False,True
29障364,24.49820020981476,0,174,3.507351949278295,False,True,True
27障411,24.15882650816204,0,338,9.038176176986376,False,True,True
