記号,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
17障6,0.38175866,-0.97063965,1.2565875,0.67650056,0.77158856,0.011156429,-0.36789346,-0.11753216,0.6737612,0.49211398
17障13,0.36268514,-1.3123722,-0.5525374,0.52893066,-0.96775246,0.3487646,-0.22968578,-0.44015428,0.7886349,0.9290819
17障26,0.32033584,-0.77888316,1.0510771,0.003109917,1.2902535,0.4141585,-0.37567788,-0.27313432,0.34728092,0.44305876
17障33,1.0742846,-1.2213812,-0.16414917,0.021535903,0.83421767,-0.49067533,-0.5738467,-0.006455896,0.5102104,0.62251353
17障48,0.40083838,-0.6718829,0.80204266,-0.5041634,-0.16359395,-0.08135084,-0.3358178,0.040256705,0.7205214,0.5325129
17障61,0.81462705,-1.2121619,-0.1687684,-1.3261075,0.04973249,0.15822673,-0.6252457,-0.30573684,0.118593276,0.061352804
17障73,0.22227845,-0.979542,1.3893338,-0.8392086,-0.056861788,-0.24114731,-0.53011334,-0.020995015,0.2855819,0.37140593
17障76,0.49395016,-1.1492982,1.4192656,-0.11202499,1.0826026,-0.4362022,-0.63211703,0.030061549,0.33517,0.26719958
17障87,0.22053057,-0.97934926,1.4472198,-0.82878804,-0.020898208,-0.24807642,-0.50871277,0.017382607,0.27291057,0.34543517
17障92,0.21425468,-0.9606184,1.3777797,-0.80634284,-0.07446474,-0.220155,-0.47987387,-0.0026572663,0.23752604,0.33128184
17障98,0.88923776,-1.2915018,-0.0261138,-0.76355684,-0.4317061,-0.3816957,-0.5674889,0.7368548,-0.010593772,0.1575688
17障110,0.6649308,-0.788658,-0.23429066,-0.5255066,-0.3748515,-0.16826269,-0.22395805,-0.06580386,0.14889586,0.1099078
17障114,1.949894,0.59957904,0.39402708,0.29663262,0.8576342,-0.15738408,-0.13050681,0.19374658,0.69962347,0.93455565
17障115,2.1037297,0.8140561,0.43054247,0.3630626,0.822785,-0.14045592,-0.118050426,0.12511207,0.43556082,0.875257
17障121,1.7186995,0.7134857,0.43320116,-0.2899706,-0.49084213,0.07684315,0.03838805,0.87410975,0.4522609,1.0221738
17障122,1.7186995,0.7134857,0.43320116,-0.2899706,-0.49084213,0.07684315,0.03838805,0.87410975,0.4522609,1.0221738
17障129,0.27005613,-1.1066821,-0.6764044,0.7563113,-1.155132,-0.124753974,0.9159541,-0.87010133,0.13833806,0.0432567
17障135,-0.3053968,-0.9548355,1.0809152,0.9123862,-0.9165957,0.73722976,0.97411084,0.40209156,0.15694891,-0.21094823
17障136,-0.3053968,-0.9548355,1.0809152,0.9123862,-0.9165957,0.73722976,0.97411084,0.40209156,0.15694891,-0.21094823
17障138,0.24245217,-1.1789846,-0.85932094,0.35279858,-0.69943357,1.1120161,0.77721584,-0.70381,0.07249272,0.07506055
17障141,-0.023387969,-1.0768659,0.96562445,1.5854114,0.23471019,0.49565417,0.840737,0.48776248,0.118743435,-0.24677765
17障146,0.6545722,-0.8757268,-0.42286938,-0.85804796,-0.042333856,0.4993922,0.54200196,-0.3265896,-0.19035241,-0.06805742
17障151,0.9206181,-1.0204022,-0.45842516,-0.111792326,1.0699108,0.32594436,0.46022287,-0.27369794,-0.21751243,-0.23651531
17障159,0.8531399,-0.23802146,0.030354321,-0.34547594,-0.43803963,-0.018708618,0.79287565,1.0250041,0.48117542,-0.576015
17障160,0.7663836,-0.10952707,-0.10781378,-0.829947,0.016711637,0.6179705,0.75879323,-0.05112203,0.6000353,-0.63631225
17障169,-0.34714758,0.37956882,-0.52927095,-0.25573605,-0.12681651,-0.7890527,1.2635226,-0.023791688,0.6457196,-0.17146862
17障175,-1.113444,-0.07191338,0.55325377,-0.07640287,-0.027829587,-0.67089194,1.18337,-0.26551,-0.10395026,0.20778033
