記号,希少性スコア,5件以下カテゴリ数,文字数,文長頑健zスコア,希少性上位1%,|文長z|≥3.5,確認候補
18障13,31.68553091425947,0,36,-1.1562698733884489,True,False,True
2019障349,31.4787524261733,0,154,2.6337258227181337,True,False,True
2019障352,30.628810655775336,1,43,-0.9314396202295838,True,False,True
2022障259,30.626204617660946,1,50,-0.7066093670707188,True,False,True
2022障257,30.578195398474584,1,122,1.605930379706179,True,False,True
2022障258,30.52990138911563,1,53,-0.610253544288348,True,False,True
2021障321,29.388603010437116,0,95,0.7387279746648423,True,False,True
19障49,29.034954938192016,0,96,0.770846582258966,True,False,True
21障44,28.828188776837912,0,99,0.8672024050413367,True,False,True
17障418,28.76019911335643,0,95,0.7387279746648423,True,False,True
17障438,28.69806215455047,0,60,-0.385423291129483,True,False,True
2022障245,28.564646302883475,0,125,1.7022862024885497,True,False,True
30障396,28.20194735106785,0,52,-0.6423721518824717,True,False,True
25障126,28.19930874121809,0,99,0.8672024050413367,True,False,True
27障427,27.741046863666842,0,78,0.1927116455647415,True,False,True
30障32,27.71626222775003,0,27,-1.445337341735561,True,False,True
19障472,27.555175999092537,0,49,-0.7387279746648423,True,False,True
21障420,27.51559528547315,0,86,0.44966050631773014,True,False,True
26障388,27.28725831952173,0,92,0.6423721518824717,True,False,True
26障30,27.238007028992865,0,42,-0.9635582278237074,True,False,True
22障456,27.081162384245996,0,129,1.830760632865044,True,False,True
2019障340,26.97390274212327,0,54,-0.5781349366942244,True,False,True
17障255,26.932045412507758,0,92,0.6423721518824717,True,False,True
27障3,26.7192652378598,0,133,1.9592350632415385,True,False,True
2019障186,26.57748195829899,1,91,0.610253544288348,True,False,True
18障138,26.4063583048023,1,51,-0.6744907594765952,True,False,True
20障34,26.34746443155745,0,105,1.0599140506060782,True,False,True
29障398,26.28516101818263,0,183,3.5651654429477175,True,True,True
2022障151,26.277491669250217,0,137,2.087709493618033,True,False,True
29障385,26.152910419392633,0,82,0.3211860759412358,True,False,True
2022障232,26.101604861742302,0,95,0.7387279746648423,True,False,True
22障21,25.969570703616952,0,89,0.5460163291001009,True,False,True
23障355,25.956607730478204,1,65,-0.22483025315886507,True,False,True
2021障6,25.953301977948506,0,58,-0.44966050631773014,True,False,True
25障30,25.941495678833366,0,64,-0.2569488607529887,True,False,True
